trialIndex,blockId,trialType,fixationDurationInSec,fixPosition,shapeInit,contrastInit,targetPosition,displacement,response,result
0,pract,Step,1.184,0,0,0,6,-1.5,NoResponse,invalid
1,pract,Step,1.05,0,0,0,-6,0.0,RightResponse,correct
2,pract,Change,0.919,0,0,1,6,1.5000000000000004,RightResponse,correct
3,pract,Change,0.73,0,0,1,-8,-1.5,NoResponse,invalid
4,pract,Blank,1.243,0,0,0,6,0.0,RightResponse,correct
5,pract,Step,1.244,0,0,0,-8,1.5000000000000004,NoResponse,invalid
6,pract,Step,1.325,0,0,1,6,-1.5,LeftResponse,correct
7,pract,Change,1.213,0,0,1,-6,0.0,RightResponse,correct
8,pract,Blank,1.297,0,1,1,6,1.5000000000000004,RightResponse,correct
9,pract,Blank,0.817,0,0,0,-6,-1.5,LeftResponse,correct
10,pract,Step,0.871,0,0,1,6,0.0,RightResponse,correct
11,pract,Change,0.946,0,0,1,-8,1.5000000000000004,LeftResponse,incorrect
