trialIndex,blockId,trialType,fixPosition,targetPosition,displacement,shapeInit,contrastInit,fixationDurationInSec,response,result
0,0,Blank,-0.0,8.0,0.9000000000000004,0,1,0.931,RightResponse,correct
1,0,Change,0.0,-6.0,2.220446049250313e-16,1,1,0.895,LeftResponse,incorrect
2,0,Blank,0.0,-6.0,0.9000000000000004,0,0,0.741,RightResponse,correct
3,0,Step,-0.0,8.0,-0.2999999999999998,1,0,1.446,RightResponse,incorrect
4,0,Change,-0.0,6.0,-1.2,1,0,1.064,RightResponse,incorrect
5,0,Step,-0.0,8.0,0.9000000000000004,0,1,1.307,RightResponse,correct
6,0,Blank,0.0,-6.0,0.9000000000000004,1,1,0.626,LeftResponse,incorrect
7,0,Blank,0.0,-8.0,0.30000000000000027,1,1,0.683,RightResponse,correct
8,0,Blank,-0.0,8.0,0.6000000000000005,0,0,0.814,RightResponse,correct
9,0,Change,-0.0,8.0,0.6000000000000005,0,1,1.318,RightResponse,correct
10,0,Change,-0.0,8.0,0.9000000000000004,1,0,1.092,LeftResponse,incorrect
11,0,Change,-0.0,6.0,-0.2999999999999998,1,1,1.018,RightResponse,incorrect
12,0,Step,0.0,-8.0,0.6000000000000005,1,0,0.769,LeftResponse,incorrect
13,0,Change,0.0,-6.0,2.220446049250313e-16,0,1,0.964,LeftResponse,incorrect
14,0,Change,-0.0,6.0,-0.8999999999999999,0,0,1.288,RightResponse,incorrect
15,0,Step,-0.0,8.0,1.5000000000000004,0,0,0.667,RightResponse,correct
16,0,Change,-0.0,6.0,-0.8999999999999999,0,1,1.013,RightResponse,incorrect
17,0,Change,-0.0,8.0,-1.5,0,0,1.441,RightResponse,incorrect
18,0,Step,0.0,-8.0,0.6000000000000005,1,1,0.759,RightResponse,correct
19,0,Change,0.0,-6.0,0.9000000000000004,1,0,1.381,LeftResponse,incorrect
20,0,Step,0.0,-6.0,1.5000000000000004,0,0,0.927,RightResponse,correct
21,0,Step,-0.0,8.0,-0.5999999999999999,0,1,1.358,RightResponse,incorrect
22,0,Blank,0.0,-8.0,-0.5999999999999999,0,1,0.727,RightResponse,incorrect
23,0,Change,0.0,-6.0,-0.2999999999999998,1,1,0.704,LeftResponse,correct
24,0,Blank,-0.0,6.0,0.30000000000000027,1,1,1.272,LeftResponse,incorrect
25,0,Step,-0.0,8.0,0.30000000000000027,0,0,0.745,RightResponse,correct
26,0,Step,-0.0,6.0,0.6000000000000005,1,0,0.945,RightResponse,correct
27,0,Change,-0.0,6.0,-1.2,1,1,0.804,RightResponse,incorrect
28,0,Step,0.0,-8.0,-0.2999999999999998,0,0,0.771,LeftResponse,correct
29,0,Blank,-0.0,6.0,1.2000000000000002,1,1,0.527,LeftResponse,incorrect
30,0,Blank,-0.0,8.0,0.6000000000000005,0,1,0.521,RightResponse,correct
31,0,Blank,-0.0,8.0,-0.5999999999999999,0,1,1.175,RightResponse,incorrect
32,0,Change,0.0,-6.0,1.2000000000000002,1,0,0.989,RightResponse,correct
