trialIndex,blockId,trialType,fixationDurationInSec,fixPosition,shapeInit,contrastInit,targetPosition,displacement,response,result
0,pract,Change,0.831,0,1,1,8,-1.5,RightResponse,incorrect
1,pract,Blank,0.717,0,0,1,-6,0.0,NoResponse,invalid
2,pract,Change,1.006,0,0,0,6,1.5000000000000004,RightResponse,correct
3,pract,Change,1.097,0,0,1,-6,-1.5,LeftResponse,correct
4,pract,Blank,0.615,0,1,0,6,0.0,RightResponse,correct
5,pract,Blank,0.7,0,1,1,-8,1.5000000000000004,RightResponse,correct
6,pract,Step,1.146,0,0,1,6,-1.5,RightResponse,incorrect
7,pract,Change,0.607,0,0,1,-6,0.0,LeftResponse,correct
8,pract,Step,1.176,0,0,0,6,1.5000000000000004,RightResponse,correct
9,pract,Change,1.028,0,1,0,-8,-1.5,LeftResponse,correct
10,pract,Blank,1.385,0,1,0,6,0.0,RightResponse,correct
11,pract,Step,1.491,0,1,0,-6,1.5000000000000004,RightResponse,correct
12,pract,Change,1.161,0,0,0,8,-1.5,RightResponse,incorrect
