displacement,nForward,nTrials
-1.5,3,15
-1.2,1,12
-0.9,4,14
-0.6,1,14
-0.3,1,14
0.0,3,16
0.3,1,15
0.6,3,11
0.9,3,12
1.2,2,12
1.5,7,15
