displacement,nForward,nTrials
-1.5,0,16
-1.2,1,15
-0.9,0,14
-0.6,1,16
-0.3,3,15
0.0,1,14
0.3,4,13
0.6,4,15
0.9,4,15
1.2,9,14
1.5,12,14
