displacement,nForward,nTrials
-1.5,1,15
-1.2,2,11
-0.9,1,10
-0.6,2,13
-0.3,3,11
0.0,3,12
0.3,3,11
0.6,4,12
0.9,8,12
1.2,7,12
1.5,5,14
