displacement,nForward,nTrials
-1.5,0,12
-1.2,0,13
-0.9,0,12
-0.6,0,11
-0.3,1,12
0.0,2,9
0.3,5,11
0.6,7,10
0.9,10,12
1.2,11,11
1.5,13,14
