displacement,nForward,nTrials
-1.5,4,10
-1.2,1,12
-0.9,1,10
-0.6,3,8
-0.3,1,11
0.0,1,13
0.3,3,13
0.6,6,11
0.9,4,10
1.2,2,9
1.5,6,10
