displacement,nForward,nTrials
-1.5,1,16
-1.2,2,15
-0.9,3,13
-0.6,5,13
-0.3,7,14
0.0,6,15
0.3,9,14
0.6,8,16
0.9,7,15
1.2,6,15
1.5,11,16
