displacement,nForward,nTrials
-1.5,0,13
-1.2,0,10
-0.9,0,11
-0.6,1,11
-0.3,2,12
0.0,3,13
0.3,6,9
0.6,6,13
0.9,7,12
1.2,4,10
1.5,7,13
