displacement,nForward,nTrials
-1.5,5,12
-1.2,4,14
-0.9,7,13
-0.6,4,10
-0.3,8,12
0.0,3,13
0.3,8,14
0.6,3,10
0.9,7,14
1.2,5,9
1.5,6,13
