displacement,nForward,nTrials
-1.5,1,12
-1.2,1,12
-0.9,0,13
-0.6,2,10
-0.3,6,14
0.0,2,8
0.3,9,10
0.6,7,13
0.9,12,13
1.2,13,13
1.5,10,10
