displacement,nForward,nTrials
-1.5,0,13
-1.2,1,12
-0.9,1,11
-0.6,2,11
-0.3,1,9
0.0,4,9
0.3,7,11
0.6,8,12
0.9,4,11
1.2,9,14
1.5,10,12
