displacement,nForward,nTrials
-1.5,0,8
-1.2,0,12
-0.9,0,9
-0.6,0,10
-0.3,2,11
0.0,1,13
0.3,4,11
0.6,6,11
0.9,9,11
1.2,8,10
1.5,6,8
