displacement,nForward,nTrials
-1.5,0,11
-1.2,0,9
-0.9,0,11
-0.6,0,12
-0.3,1,12
0.0,6,16
0.3,8,10
0.6,9,10
0.9,10,10
1.2,9,9
1.5,7,7
