displacement,nForward,nTrials
-1.5,0,7
-1.2,0,11
-0.9,0,9
-0.6,1,7
-0.3,1,11
0.0,4,9
0.3,2,7
0.6,5,11
0.9,5,12
1.2,5,7
1.5,10,10
