displacement,nForward,nTrials
-1.5,1,14
-1.2,1,15
-0.9,3,16
-0.6,7,14
-0.3,9,14
0.0,9,16
0.3,9,14
0.6,10,16
0.9,12,15
1.2,10,14
1.5,12,15
