displacement,nForward,nTrials
-1.5,0,14
-1.2,1,15
-0.9,2,15
-0.6,1,14
-0.3,4,15
0.0,4,15
0.3,3,16
0.6,7,15
0.9,6,15
1.2,5,14
1.5,10,14
