displacement,nForward,nTrials
-1.5,0,15
-1.2,0,14
-0.9,0,13
-0.6,0,13
-0.3,0,13
0.0,0,15
0.3,2,15
0.6,10,16
0.9,8,13
1.2,9,13
1.5,12,15
