trialIndex,blockId,trialType,fixationDurationInSec,fixPosition,shapeInit,contrastInit,targetPosition,displacement,response,result
0,pract,Step,1.494,0,0,0,8,-1.5,NoResponse,invalid
1,pract,Step,0.654,0,1,0,-6,0.0,LeftResponse,correct
2,pract,Blank,0.593,0,1,1,8,1.5000000000000004,RightResponse,correct
3,pract,Change,1.462,0,1,0,-6,-1.5,LeftResponse,correct
4,pract,Step,0.757,0,0,1,8,0.0,RightResponse,correct
5,pract,Step,1.277,0,1,0,-6,1.5000000000000004,LeftResponse,incorrect
6,pract,Step,0.977,0,1,0,8,-1.5,LeftResponse,correct
7,pract,Step,1.254,0,0,1,-8,0.0,NoResponse,invalid
8,pract,Step,1.305,0,0,0,6,1.5000000000000004,RightResponse,correct
9,pract,Change,1.44,0,0,0,-6,-1.5,LeftResponse,correct
10,pract,Change,0.558,0,0,1,6,0.0,RightResponse,correct
11,pract,Blank,1.478,0,1,0,-8,1.5000000000000004,RightResponse,correct
12,pract,Change,1.078,0,1,1,6,-1.5,LeftResponse,correct
13,pract,Change,0.568,0,1,1,-6,0.0,LeftResponse,correct
