trialIndex,blockId,trialType,fixationDurationInSec,fixPosition,shapeInit,contrastInit,targetPosition,displacement,response,result
0,pract,Blank,1.402,0,1,1,8,-1.5,RightResponse,incorrect
1,pract,Change,1.117,0,1,0,-8,0.0,LeftResponse,correct
2,pract,Blank,1.177,0,0,0,8,1.5000000000000004,RightResponse,correct
3,pract,Blank,0.975,0,0,1,-6,-1.5,LeftResponse,correct
4,pract,Step,1.147,0,1,0,6,0.0,NoResponse,invalid
5,pract,Change,0.812,0,0,1,-6,1.5000000000000004,LeftResponse,incorrect
6,pract,Step,0.891,0,1,0,6,-1.5,RightResponse,incorrect
7,pract,Change,1.238,0,1,0,-6,0.0,LeftResponse,correct
8,pract,Blank,0.901,0,1,1,6,1.5000000000000004,RightResponse,correct
9,pract,Blank,0.651,0,1,1,-8,-1.5,LeftResponse,correct
10,pract,Blank,1.332,0,1,1,6,0.0,RightResponse,correct
11,pract,Step,1.198,0,0,0,-6,1.5000000000000004,NoResponse,invalid
12,pract,Step,1.494,0,1,0,8,-1.5,RightResponse,incorrect
13,pract,Blank,1.426,0,1,1,-6,0.0,LeftResponse,correct
14,pract,Change,0.997,0,1,1,8,1.5000000000000004,RightResponse,correct
15,pract,Change,1.092,0,1,1,-6,-1.5,LeftResponse,correct
16,pract,Change,0.917,0,0,0,6,0.0,RightResponse,correct
17,pract,Blank,0.878,0,1,1,-6,1.5000000000000004,LeftResponse,incorrect
18,pract,Blank,0.738,0,1,0,6,-1.5,LeftResponse,correct
19,pract,Change,0.56,0,1,0,-6,0.0,NoResponse,invalid
20,pract,Step,1.142,0,0,1,8,1.5000000000000004,RightResponse,correct
21,pract,Change,1.047,0,0,0,-6,-1.5,LeftResponse,correct
22,pract,Step,0.97,0,0,1,6,0.0,RightResponse,correct
23,pract,Change,1.403,0,1,1,-8,1.5000000000000004,LeftResponse,incorrect
24,pract,Change,1.475,0,1,0,8,-1.5,RightResponse,incorrect
25,pract,Change,1.086,0,1,0,-6,0.0,LeftResponse,correct
26,pract,Blank,0.678,0,0,1,8,1.5000000000000004,RightResponse,correct
27,pract,Step,1.372,0,0,1,-6,-1.5,LeftResponse,correct
28,pract,Change,1.172,0,1,1,8,0.0,RightResponse,correct
29,pract,Blank,1.466,0,1,0,-8,1.5000000000000004,RightResponse,correct
30,pract,Blank,1.064,0,0,1,8,-1.5,LeftResponse,correct
