trialIndex,blockId,trialType,fixPosition,targetPosition,displacement,shapeInit,contrastInit,fixationDurationInSec,response,result
0,0,Blank,-0.0,8.0,0.9000000000000004,1,1,0.864,RightResponse,correct
1,0,Change,-0.0,6.0,1.5000000000000004,0,1,1.136,RightResponse,correct
2,0,Blank,-0.0,6.0,1.5000000000000004,1,0,1.371,RightResponse,correct
3,0,Change,-0.0,6.0,2.220446049250313e-16,1,0,1.003,LeftResponse,incorrect
4,0,Change,0.0,-6.0,-0.8999999999999999,1,0,0.915,LeftResponse,correct
5,0,Step,0.0,-8.0,1.5000000000000004,0,0,1.138,LeftResponse,incorrect
6,0,Step,-0.0,6.0,-1.2,0,1,1.042,RightResponse,incorrect
7,0,Change,-0.0,8.0,0.6000000000000005,0,0,0.932,RightResponse,correct
8,0,Step,-0.0,8.0,-1.5,1,1,0.931,RightResponse,incorrect
9,0,Step,0.0,-8.0,2.220446049250313e-16,0,0,1.133,LeftResponse,incorrect
10,0,Blank,0.0,-8.0,1.2000000000000002,0,1,0.662,RightResponse,correct
11,0,Blank,0.0,-6.0,0.9000000000000004,0,1,0.908,RightResponse,correct
12,0,Blank,0.0,-6.0,1.5000000000000004,1,0,1.36,RightResponse,correct
13,0,Blank,-0.0,6.0,1.5000000000000004,1,1,0.553,RightResponse,correct
14,0,Change,-0.0,6.0,-1.5,1,0,0.737,LeftResponse,correct
15,0,Change,0.0,-8.0,-1.5,1,1,0.993,LeftResponse,correct
16,0,Blank,0.0,-6.0,0.30000000000000027,1,0,0.667,RightResponse,correct
17,0,Change,0.0,-6.0,-1.2,0,0,1.36,LeftResponse,correct
18,0,Blank,0.0,-8.0,-0.8999999999999999,1,0,1.173,LeftResponse,correct
19,0,Change,-0.0,6.0,0.6000000000000005,0,1,1.479,RightResponse,correct
20,0,Step,0.0,-6.0,2.220446049250313e-16,0,0,0.896,LeftResponse,incorrect
21,0,Step,-0.0,8.0,-1.2,0,1,1.497,RightResponse,incorrect
22,0,Change,0.0,-8.0,-0.5999999999999999,0,0,0.762,LeftResponse,correct
23,0,Blank,0.0,-8.0,-1.5,1,0,1.186,LeftResponse,correct
24,0,Change,0.0,-8.0,1.2000000000000002,1,0,0.953,LeftResponse,incorrect
25,0,Blank,-0.0,6.0,2.220446049250313e-16,1,1,1.372,RightResponse,correct
26,0,Step,-0.0,8.0,1.5000000000000004,1,1,1.408,RightResponse,correct
27,0,Step,-0.0,6.0,-0.5999999999999999,0,0,0.963,RightResponse,incorrect
28,0,Step,-0.0,6.0,1.2000000000000002,1,1,1.418,RightResponse,correct
29,0,Blank,0.0,-6.0,2.220446049250313e-16,0,1,0.602,LeftResponse,incorrect
30,0,Change,0.0,-8.0,2.220446049250313e-16,0,0,1.349,LeftResponse,incorrect
31,0,Step,-0.0,6.0,-0.8999999999999999,0,0,1.46,RightResponse,incorrect
32,0,Change,-0.0,6.0,1.2000000000000002,1,1,1.49,RightResponse,correct
33,0,Blank,-0.0,8.0,-0.5999999999999999,1,0,1.271,LeftResponse,correct
34,0,Blank,0.0,-8.0,0.9000000000000004,0,1,1.273,RightResponse,correct
35,0,Blank,0.0,-8.0,1.5000000000000004,0,0,0.562,RightResponse,correct
36,0,Change,0.0,-8.0,-1.2,1,1,0.639,LeftResponse,correct
37,0,Step,0.0,-6.0,2.220446049250313e-16,0,1,0.619,LeftResponse,incorrect
38,0,Blank,0.0,-6.0,0.6000000000000005,0,1,0.783,RightResponse,correct
39,0,Change,-0.0,6.0,-0.5999999999999999,1,0,0.931,LeftResponse,correct
40,0,Blank,0.0,-8.0,0.9000000000000004,1,0,1.361,RightResponse,correct
41,0,Blank,-0.0,8.0,-1.5,0,1,1.087,LeftResponse,correct
42,0,Change,-0.0,6.0,0.30000000000000027,0,0,0.575,LeftResponse,incorrect
43,0,Blank,-0.0,8.0,-1.2,0,1,1.369,LeftResponse,correct
44,0,Step,0.0,-8.0,-0.5999999999999999,0,0,0.741,LeftResponse,correct
45,0,Change,-0.0,8.0,0.9000000000000004,1,0,0.678,RightResponse,correct
46,0,Blank,0.0,-8.0,-0.5999999999999999,1,1,0.86,RightResponse,incorrect
47,0,Change,0.0,-8.0,2.220446049250313e-16,1,1,0.694,RightResponse,correct
48,0,Step,-0.0,6.0,1.5000000000000004,0,1,0.692,RightResponse,correct
49,0,Step,0.0,-8.0,-0.5999999999999999,1,0,0.951,LeftResponse,correct
50,0,Blank,0.0,-6.0,-0.8999999999999999,0,1,1.362,RightResponse,incorrect
51,0,Change,0.0,-6.0,2.220446049250313e-16,1,1,1.413,RightResponse,correct
52,0,Change,0.0,-8.0,0.6000000000000005,0,1,0.918,LeftResponse,incorrect
53,0,Change,0.0,-8.0,-0.5999999999999999,1,0,1.284,LeftResponse,correct
