,blockID,trialNumber,triggerName,timestamp_sys,timestamp_psyc,triggerSent_Serial00
0,pract,-1,StartPractice,1764342985.4604042,323.80048751831055,False
1,pract,0,startFixDisplay,1764342985.4711683,323.81125140190125,False
2,pract,0,startFixPeriod,1764342985.8182943,324.1583800315857,False
3,pract,0,TargetPresentation,1764342987.0881877,325.42827320098877,False
4,pract,0,TargetRemoval,1764342987.22679,325.5668737888336,True
5,pract,0,TargetReappeared,1764342987.4768033,325.81689071655273,False
6,pract,0,FeedbackPeriodStarted,1764342989.4888628,327.82894587516785,False
7,pract,1,startFixDisplay,1764342989.9954255,328.3355088233948,False
8,pract,1,startFixPeriod,1764342990.2660997,328.6061828136444,False
9,pract,1,TargetPresentation,1764342991.3486013,329.6886851787567,False
10,pract,1,TargetDisplacement,1764342991.4943728,329.83445596694946,True
11,pract,1,FeedbackPeriodStarted,1764342993.5065646,331.8466520309448,False
12,pract,2,startFixDisplay,1764342994.0131168,332.35320019721985,False
13,pract,2,startFixPeriod,1764342994.0200498,332.3601326942444,False
14,pract,2,TargetPresentation,1764342995.0886889,333.42877221107483,False
15,pract,2,TargetRemoval,1764342995.0956342,333.43571734428406,True
16,pract,2,TargetReappeared,1764342995.3455474,333.68563318252563,False
17,pract,2,LeftResponse,1764342997.010894,335.3509769439697,False
18,pract,2,FeedbackPeriodStarted,1764342997.0179276,335.35801339149475,False
19,pract,3,startFixDisplay,1764342997.5242655,335.86434864997864,False
20,pract,3,startFixPeriod,1764342997.7672195,336.107302904129,False
21,pract,3,TargetPresentation,1764342998.5514119,336.8914952278137,False
22,pract,3,TargetDisplacement,1764342998.690137,337.03022265434265,True
23,pract,3,FeedbackPeriodStarted,1764343000.7023575,339.0424404144287,False
24,pract,4,startFixDisplay,1764343001.2089188,339.54900193214417,False
25,pract,4,startFixPeriod,1764343001.458839,339.79892468452454,False
26,pract,4,TargetPresentation,1764343002.3608763,340.70096015930176,False
27,pract,4,TargetDisplacement,1764343002.5065417,340.8466248512268,True
28,pract,4,FeedbackPeriodStarted,1764343004.5189328,342.85901832580566,False
29,pract,5,startFixDisplay,1764343005.0253885,343.3654718399048,False
30,pract,5,startFixPeriod,1764343005.1156037,343.45568680763245,False
31,pract,5,TargetPresentation,1764343006.427077,344.76716017723083,False
32,pract,5,TargetDisplacement,1764343006.4341965,344.7742819786072,True
33,pract,5,FeedbackPeriodStarted,1764343008.4395947,346.77968072891235,False
34,pract,6,startFixDisplay,1764343008.9460073,347.2860906124115,False
35,pract,6,startFixPeriod,1764343008.9528778,347.2929608821869,False
