trialIndex,blockId,trialType,fixationDurationInSec,fixPosition,shapeInit,contrastInit,targetPosition,displacement,response,result
0,pract,Blank,1.277,0,0,0,6,-1.5,NoResponse,invalid
1,pract,Step,1.09,0,0,0,-6,0.0,NoResponse,invalid
2,pract,Blank,1.075,0,1,0,6,1.5000000000000004,LeftResponse,incorrect
3,pract,Change,0.789,0,1,1,-6,-1.5,NoResponse,invalid
4,pract,Step,0.907,0,1,1,8,0.0,NoResponse,invalid
5,pract,Change,1.313,0,0,1,-8,1.5000000000000004,NoResponse,invalid
6,pract,Change,1.039,0,1,1,6,-1.5,NoResponse,invalid
7,pract,Step,1.344,0,1,1,-6,0.0,LeftResponse,correct
8,pract,Blank,1.226,0,0,1,6,1.5000000000000004,RightResponse,correct
9,pract,Change,1.233,0,0,1,-8,-1.5,LeftResponse,correct
10,pract,Step,1.112,0,0,0,8,0.0,RightResponse,correct
11,pract,Step,0.516,0,1,1,-8,1.5000000000000004,LeftResponse,incorrect
12,pract,Blank,1.492,0,1,1,8,-1.5,RightResponse,incorrect
13,pract,Change,0.609,0,0,0,-8,0.0,LeftResponse,correct
14,pract,Blank,0.732,0,1,0,8,1.5000000000000004,RightResponse,correct
15,pract,Step,1.244,0,1,1,-6,-1.5,LeftResponse,correct
16,pract,Step,0.893,0,1,0,8,0.0,RightResponse,correct
17,pract,Change,0.525,0,1,0,-6,1.5000000000000004,LeftResponse,incorrect
18,pract,Step,0.655,0,1,0,6,-1.5,RightResponse,incorrect
19,pract,Change,0.674,0,1,1,-6,0.0,LeftResponse,correct
20,pract,Change,1.015,0,1,0,8,1.5000000000000004,RightResponse,correct
21,pract,Blank,1.459,0,0,0,-6,-1.5,LeftResponse,correct
22,pract,Blank,1.178,0,0,1,8,0.0,RightResponse,correct
23,pract,Change,1.445,0,0,1,-8,1.5000000000000004,LeftResponse,incorrect
24,pract,Change,1.358,0,1,0,8,-1.5,RightResponse,incorrect
25,pract,Change,0.567,0,0,0,-6,0.0,LeftResponse,correct
26,pract,Blank,1.487,0,1,0,8,1.5000000000000004,RightResponse,correct
27,pract,Step,1.482,0,0,1,-8,-1.5,LeftResponse,correct
28,pract,Step,0.518,0,0,0,8,0.0,RightResponse,correct
29,pract,Step,1.49,0,0,0,-8,1.5000000000000004,LeftResponse,incorrect
30,pract,Blank,1.448,0,1,1,6,-1.5,LeftResponse,correct
31,pract,Blank,0.705,0,0,0,-8,0.0,LeftResponse,correct
32,pract,Step,1.431,0,1,0,8,1.5000000000000004,RightResponse,correct
33,pract,Step,0.541,0,1,1,-8,-1.5,LeftResponse,correct
34,pract,Blank,0.846,0,1,0,6,0.0,RightResponse,correct
35,pract,Step,1.134,0,0,0,-8,1.5000000000000004,LeftResponse,incorrect
