trialIndex,blockId,trialType,fixationDurationInSec,fixPosition,shapeInit,contrastInit,targetPosition,displacement,response,result
0,pract,Change,1.383,0,0,0,8,-1.5,NoResponse,invalid
1,pract,Change,1.061,0,0,0,-6,0.0,LeftResponse,correct
2,pract,Change,0.625,0,1,0,8,1.5000000000000004,RightResponse,correct
3,pract,Change,1.006,0,0,0,-6,-1.5,LeftResponse,correct
4,pract,Blank,0.575,0,0,0,6,0.0,RightResponse,correct
5,pract,Step,1.215,0,1,1,-6,1.5000000000000004,LeftResponse,incorrect
6,pract,Blank,1.126,0,1,1,6,-1.5,RightResponse,incorrect
7,pract,Step,0.887,0,0,1,-8,0.0,LeftResponse,correct
8,pract,Blank,0.852,0,1,0,8,1.5000000000000004,RightResponse,correct
9,pract,Blank,1.371,0,1,0,-6,-1.5,LeftResponse,correct
10,pract,Change,0.962,0,1,1,6,0.0,RightResponse,correct
11,pract,Blank,0.837,0,0,1,-8,1.5000000000000004,LeftResponse,incorrect
12,pract,Change,0.735,0,1,0,6,-1.5,RightResponse,incorrect
13,pract,Blank,1.383,0,1,1,-6,0.0,LeftResponse,correct
14,pract,Step,1.119,0,1,1,6,1.5000000000000004,RightResponse,correct
15,pract,Blank,0.812,0,1,1,-6,-1.5,LeftResponse,correct
16,pract,Change,1.432,0,0,1,8,0.0,RightResponse,correct
17,pract,Step,0.962,0,0,0,-8,1.5000000000000004,RightResponse,correct
18,pract,Step,0.949,0,1,1,8,-1.5,RightResponse,incorrect
