trialIndex,blockId,trialType,fixPosition,targetPosition,displacement,shapeInit,contrastInit,fixationDurationInSec,response,result
0,0,Change,-0.0,8.0,-1.5,0,1,1.092,RightResponse,incorrect
1,0,Blank,0.0,-8.0,1.2000000000000002,1,0,1.18,RightResponse,correct
2,0,Step,0.0,-8.0,1.5000000000000004,0,0,1.178,RightResponse,correct
3,0,Change,-0.0,6.0,-0.5999999999999999,0,1,1.218,LeftResponse,correct
4,0,Step,0.0,-6.0,-1.2,1,1,0.91,LeftResponse,correct
5,0,Step,-0.0,8.0,-1.2,1,0,0.723,LeftResponse,correct
6,0,Change,-0.0,8.0,0.30000000000000027,1,0,0.643,RightResponse,correct
7,0,Step,-0.0,6.0,-0.8999999999999999,0,0,0.562,LeftResponse,correct
8,0,Step,0.0,-6.0,-0.5999999999999999,1,0,0.964,LeftResponse,correct
9,0,Blank,-0.0,6.0,0.9000000000000004,1,0,1.191,RightResponse,correct
10,0,Blank,-0.0,6.0,0.6000000000000005,0,1,1.089,RightResponse,correct
11,0,Blank,0.0,-6.0,-0.5999999999999999,0,1,1.425,LeftResponse,correct
12,0,Change,0.0,-8.0,-1.5,1,1,1.166,LeftResponse,correct
13,0,Blank,0.0,-6.0,0.9000000000000004,1,0,0.743,RightResponse,correct
14,0,Step,0.0,-8.0,-0.8999999999999999,1,1,0.528,LeftResponse,correct
15,0,Blank,0.0,-6.0,0.30000000000000027,0,0,1.093,RightResponse,correct
16,0,Step,0.0,-6.0,-1.2,0,0,0.876,LeftResponse,correct
17,0,Change,-0.0,6.0,0.30000000000000027,1,0,0.922,RightResponse,correct
18,0,Blank,0.0,-6.0,1.5000000000000004,0,1,0.774,RightResponse,correct
19,0,Step,-0.0,6.0,0.6000000000000005,1,0,0.795,RightResponse,correct
20,0,Step,0.0,-8.0,-0.2999999999999998,1,1,0.785,LeftResponse,correct
21,0,Blank,0.0,-6.0,0.6000000000000005,1,0,1.019,RightResponse,correct
22,0,Blank,0.0,-8.0,-1.5,0,0,1.354,LeftResponse,correct
23,0,Change,0.0,-8.0,0.6000000000000005,1,0,0.794,NoResponse,invalid
24,0,Step,-0.0,6.0,-1.5,0,1,1.484,LeftResponse,correct
25,0,Blank,0.0,-8.0,0.6000000000000005,0,1,1.122,LeftResponse,incorrect
26,0,Step,-0.0,6.0,-1.5,1,1,0.66,RightResponse,incorrect
27,0,Blank,0.0,-8.0,0.6000000000000005,1,1,0.846,RightResponse,correct
28,0,Step,0.0,-6.0,0.9000000000000004,0,1,0.868,RightResponse,correct
29,0,Change,0.0,-8.0,2.220446049250313e-16,0,1,0.735,LeftResponse,incorrect
30,0,Change,-0.0,6.0,0.30000000000000027,1,1,1.195,RightResponse,correct
31,0,Change,-0.0,8.0,1.2000000000000002,0,1,0.805,RightResponse,correct
32,0,Blank,-0.0,8.0,0.6000000000000005,0,1,0.68,RightResponse,correct
33,0,Step,0.0,-6.0,1.5000000000000004,0,0,1.468,LeftResponse,incorrect
34,0,Step,-0.0,8.0,2.220446049250313e-16,0,1,1.347,RightResponse,correct
35,0,Blank,-0.0,6.0,1.2000000000000002,0,1,0.527,LeftResponse,incorrect
36,0,Change,0.0,-6.0,-0.8999999999999999,1,1,0.974,LeftResponse,correct
37,0,Change,-0.0,6.0,-0.8999999999999999,0,1,1.408,RightResponse,incorrect
38,0,Blank,0.0,-6.0,1.5000000000000004,0,0,0.557,RightResponse,correct
39,0,Blank,0.0,-6.0,1.5000000000000004,1,0,0.525,RightResponse,correct
40,0,Change,0.0,-6.0,0.6000000000000005,0,0,0.556,LeftResponse,incorrect
41,0,Blank,-0.0,8.0,-0.2999999999999998,1,1,1.019,RightResponse,incorrect
42,0,Step,-0.0,6.0,-1.5,1,0,0.805,RightResponse,incorrect
43,0,Step,-0.0,8.0,-0.8999999999999999,1,0,1.22,LeftResponse,correct
44,0,Step,0.0,-6.0,0.30000000000000027,0,1,1.353,RightResponse,correct
45,0,Step,0.0,-6.0,-0.2999999999999998,1,0,0.643,LeftResponse,correct
46,0,Blank,-0.0,6.0,0.6000000000000005,1,1,1.163,NoResponse,invalid
47,0,Change,-0.0,8.0,0.6000000000000005,0,0,1.117,RightResponse,correct
48,0,Blank,0.0,-8.0,0.9000000000000004,0,0,1.411,LeftResponse,incorrect
49,0,Step,-0.0,6.0,2.220446049250313e-16,0,1,0.556,RightResponse,correct
50,0,Blank,-0.0,8.0,-1.2,1,0,0.589,LeftResponse,correct
51,0,Step,0.0,-8.0,1.2000000000000002,1,1,1.312,RightResponse,correct
52,0,Step,0.0,-6.0,2.220446049250313e-16,0,0,1.246,LeftResponse,incorrect
53,0,Step,0.0,-8.0,0.9000000000000004,0,0,0.949,LeftResponse,incorrect
54,0,Blank,-0.0,8.0,0.6000000000000005,1,0,1.07,LeftResponse,incorrect
55,0,Blank,-0.0,6.0,0.30000000000000027,1,0,0.823,RightResponse,correct
56,0,Change,-0.0,6.0,-1.2,1,0,0.595,RightResponse,incorrect
57,0,Step,-0.0,8.0,0.30000000000000027,1,0,1.219,RightResponse,correct
58,0,Step,-0.0,6.0,-0.5999999999999999,0,1,0.823,RightResponse,incorrect
59,0,Step,-0.0,6.0,0.30000000000000027,1,1,1.377,RightResponse,correct
60,0,Step,0.0,-8.0,0.6000000000000005,0,0,1.345,RightResponse,correct
61,0,Change,0.0,-6.0,-0.2999999999999998,1,0,1.167,LeftResponse,correct
62,0,Blank,-0.0,8.0,0.9000000000000004,0,1,1.35,RightResponse,correct
63,0,Step,0.0,-6.0,-0.2999999999999998,0,0,0.811,LeftResponse,correct
64,0,Step,-0.0,8.0,-1.2,1,1,0.997,LeftResponse,correct
65,0,Step,0.0,-8.0,0.30000000000000027,1,0,1.435,LeftResponse,incorrect
66,1,Change,-0.0,6.0,2.220446049250313e-16,1,1,0.837,RightResponse,correct
67,1,Change,-0.0,8.0,-1.2,1,0,0.827,NoResponse,invalid
68,1,Step,-0.0,8.0,-0.2999999999999998,1,1,0.841,LeftResponse,correct
69,1,Change,-0.0,6.0,-0.2999999999999998,1,1,1.168,LeftResponse,correct
70,1,Change,0.0,-8.0,-0.2999999999999998,0,0,0.633,LeftResponse,correct
71,1,Blank,0.0,-8.0,2.220446049250313e-16,1,0,1.249,LeftResponse,incorrect
72,1,Change,0.0,-8.0,0.6000000000000005,1,1,1.449,LeftResponse,incorrect
73,1,Change,-0.0,6.0,-0.2999999999999998,0,1,1.099,RightResponse,incorrect
74,1,Change,-0.0,8.0,-0.5999999999999999,0,1,1.432,RightResponse,incorrect
75,1,Step,-0.0,8.0,1.2000000000000002,1,0,1.265,RightResponse,correct
76,1,Blank,-0.0,8.0,-0.2999999999999998,0,1,0.839,RightResponse,incorrect
77,1,Change,0.0,-8.0,0.30000000000000027,0,0,1.307,RightResponse,correct
78,1,Step,0.0,-6.0,1.2000000000000002,1,1,0.636,RightResponse,correct
79,1,Change,-0.0,6.0,0.30000000000000027,0,1,1.053,RightResponse,correct
80,1,Blank,-0.0,6.0,0.9000000000000004,0,0,0.7,RightResponse,correct
81,1,Change,-0.0,6.0,0.6000000000000005,1,0,1.287,RightResponse,correct
82,1,Change,0.0,-8.0,-0.5999999999999999,0,1,1.138,LeftResponse,correct
83,1,Change,0.0,-6.0,0.9000000000000004,0,0,1.294,RightResponse,correct
84,1,Blank,-0.0,8.0,1.2000000000000002,0,0,0.666,RightResponse,correct
85,1,Step,-0.0,8.0,-1.5,0,1,0.591,RightResponse,incorrect
86,1,Step,-0.0,6.0,0.9000000000000004,1,1,1.23,RightResponse,correct
87,1,Change,0.0,-8.0,0.30000000000000027,1,0,0.803,LeftResponse,incorrect
88,1,Change,-0.0,8.0,-0.2999999999999998,0,1,0.914,LeftResponse,correct
89,1,Blank,-0.0,8.0,-1.2,1,1,1.131,LeftResponse,correct
90,1,Step,-0.0,8.0,-0.5999999999999999,1,1,1.299,RightResponse,incorrect
91,1,Blank,-0.0,8.0,-1.2,0,1,0.957,LeftResponse,correct
92,1,Blank,-0.0,6.0,1.5000000000000004,0,1,1.269,LeftResponse,incorrect
93,1,Change,-0.0,6.0,1.5000000000000004,1,0,0.919,RightResponse,correct
94,1,Blank,-0.0,8.0,-0.5999999999999999,0,0,1.112,RightResponse,incorrect
95,1,Step,-0.0,6.0,-0.8999999999999999,1,0,1.149,LeftResponse,correct
96,1,Step,-0.0,8.0,-0.8999999999999999,0,1,0.986,RightResponse,incorrect
97,1,Blank,-0.0,6.0,-0.2999999999999998,0,0,1.277,RightResponse,incorrect
98,1,Blank,0.0,-8.0,-0.8999999999999999,1,1,0.958,LeftResponse,correct
99,1,Change,0.0,-6.0,1.5000000000000004,0,0,1.12,RightResponse,correct
100,1,Blank,-0.0,8.0,-1.5,1,0,1.175,LeftResponse,correct
101,1,Change,0.0,-6.0,-0.8999999999999999,0,1,0.621,LeftResponse,correct
102,1,Change,-0.0,6.0,1.2000000000000002,0,1,1.056,RightResponse,correct
103,1,Change,-0.0,8.0,1.5000000000000004,0,0,1.168,RightResponse,correct
104,1,Step,0.0,-8.0,1.2000000000000002,1,0,0.77,RightResponse,correct
105,1,Change,-0.0,6.0,-0.5999999999999999,1,1,1.33,LeftResponse,correct
