0.1458 	EXP 	Input Frame Rate: 144.000 Hz
0.1458 	EXP 	Determined Frame Rate: 144.041 Hz
0.1755 	EXP 	subjectName: 'Sub_15'
0.1755 	EXP 	session: 1
0.1756 	EXP 	language: 'DE'
0.1756 	EXP 	stimChangeType: 'C'
0.1756 	EXP 	nBlocks: 8
0.1757 	EXP 	nTrialsPerBlock: 66
0.1757 	EXP 	dominantEye: 'R'
0.1758 	EXP 	monitorRefreshRate: 144.
0.1758 	EXP 	monitorWidth: 53.36
0.1759 	EXP 	monitorDistance: 65.
0.1759 	EXP 	nTrialsTotal: 528
0.1759 	EXP 	nTrialsMinPractise: 5
0.1760 	EXP 	minSuccessRateInPractise: 0.8
0.1761 	EXP 	blankTimeInSec: 0.25
0.1761 	EXP 	fixSize: 0.5
0.1762 	EXP 	stimDistances: [6 8]
0.1762 	EXP 	holdGazeRadius: 1
0.1762 	EXP 	maxWaitTimeInSec: 2
0.1763 	EXP 	fixationJitterInSec: [0.5 1.5]
0.1763 	EXP 	postResponseBlankTime: 0.5
0.1764 	EXP 	nTrialsFeedback: 6
0.1764 	EXP 	keyMapping: ['left' 'right']
0.1765 	EXP 	samplingRangeInDeg: [-1.50000000e+00 -1.20000000e+00 -9.00000000e-01 -6.00000000e-01
 -3.00000000e-01  2.22044605e-16  3.00000000e-01  6.00000000e-01
  9.00000000e-01  1.20000000e+00  1.50000000e+00]
0.1766 	EXP 	targetSize: 1.
0.1766 	EXP 	scoreIncrement: 10
0.1767 	EXP 	maxContagCondRepeat: 3
0.1767 	EXP 	tagFlipScreen: True
0.1767 	EXP 	screenWidthInPix: 1920
0.1768 	EXP 	screenHeightInPix: 1080
0.1768 	EXP 	Added new global key event: quitKey
0.2606 	WARNING 	fillRGB parameter is deprecated. Please use lineColor and colorSpace instead
0.2607 	WARNING 	lineRGB parameter is deprecated. Please use lineColor and colorSpace instead
0.2645 	EXP 	Removed global key event: 'quitKey'.
5.6675 	DATA 	Keypress: return
6.1842 	EXP 	Device response: <KeyPress from None: t=5.665600299835205, value=return, duration=None>
6.1842 	EXP 	Device response: <KeyPress from None: t=5.665600299835205, value=return, duration=0.1274244785308838>
6.1842 	EXP 	Device response: <KeyPress from None: t=5.9130637645721436, value=return, duration=None>
6.1842 	EXP 	Device response: <KeyPress from None: t=5.9130637645721436, value=return, duration=0.12800335884094238>
15.9637 	EXP 	Device response: <KeyPress from None: t=15.953129529953003, value=return, duration=None>
16.0935 	DATA 	Keypress: return
16.0936 	DATA 	Keypress: return
16.1619 	EXP 	Device response: <KeyPress from None: t=15.953129529953003, value=return, duration=0.19989395141601562>
21.9106 	EXP 	Device response: <KeyPress from None: t=21.905128717422485, value=up, duration=None>
21.9606 	DATA 	Keypress: up
22.0670 	EXP 	Device response: <KeyPress from None: t=21.905128717422485, value=up, duration=0.15192627906799316>
22.4548 	EXP 	Device response: <KeyPress from None: t=22.449079275131226, value=down, duration=None>
22.5338 	DATA 	Keypress: down
22.6094 	EXP 	Device response: <KeyPress from None: t=22.449079275131226, value=down, duration=0.16011357307434082>
22.8373 	EXP 	Device response: <KeyPress from None: t=22.83310580253601, value=down, duration=None>
22.8616 	DATA 	Keypress: down
22.9544 	EXP 	Device response: <KeyPress from None: t=22.83310580253601, value=down, duration=0.11193323135375977>
23.4717 	EXP 	Device response: <KeyPress from None: t=23.465115308761597, value=down, duration=None>
23.5191 	DATA 	Keypress: down
23.5552 	EXP 	Device response: <KeyPress from None: t=23.465115308761597, value=down, duration=0.08803367614746094>
23.6575 	EXP 	Device response: <KeyPress from None: t=23.657113313674927, value=down, duration=None>
23.6844 	DATA 	Keypress: down
