trialIndex,blockId,trialType,fixationDurationInSec,fixPosition,shapeInit,contrastInit,targetPosition,displacement,response,result
0,pract,Step,1.289,0,0,1,8,-1.5,NoResponse,invalid
1,pract,Step,0.609,0,0,0,-8,0.0,RightResponse,correct
2,pract,Change,1.093,0,0,1,6,1.5000000000000004,RightResponse,correct
3,pract,Step,1.245,0,0,0,-8,-1.5,LeftResponse,correct
4,pract,Step,1.105,0,1,1,8,0.0,RightResponse,correct
5,pract,Step,1.016,0,0,0,-6,1.5000000000000004,NoResponse,invalid
6,pract,Step,0.83,0,1,0,8,-1.5,RightResponse,incorrect
7,pract,Change,1.23,0,1,1,-8,0.0,LeftResponse,correct
8,pract,Blank,1.402,0,0,0,8,1.5000000000000004,RightResponse,correct
9,pract,Blank,1.112,0,1,1,-6,-1.5,LeftResponse,correct
10,pract,Step,1.498,0,0,0,6,0.0,RightResponse,correct
11,pract,Blank,1.302,0,0,1,-8,1.5000000000000004,LeftResponse,incorrect
12,pract,Step,1.093,0,0,0,6,-1.5,RightResponse,incorrect
13,pract,Change,1.354,0,0,0,-6,0.0,NoResponse,invalid
14,pract,Step,1.309,0,0,0,8,1.5000000000000004,RightResponse,correct
15,pract,Change,1.009,0,1,0,-6,-1.5,LeftResponse,correct
16,pract,Blank,0.844,0,1,0,6,0.0,RightResponse,correct
17,pract,Step,1.441,0,0,0,-8,1.5000000000000004,LeftResponse,incorrect
18,pract,Change,1.14,0,0,1,6,-1.5,RightResponse,incorrect
19,pract,Blank,0.748,0,1,1,-6,0.0,LeftResponse,correct
20,pract,Change,1.361,0,0,0,8,1.5000000000000004,RightResponse,correct
21,pract,Change,1.345,0,0,0,-6,-1.5,LeftResponse,correct
22,pract,Blank,1.391,0,0,1,8,0.0,RightResponse,correct
23,pract,Step,0.951,0,1,0,-8,1.5000000000000004,LeftResponse,incorrect
24,pract,Step,0.861,0,0,0,8,-1.5,RightResponse,incorrect
25,pract,Change,0.557,0,1,1,-6,0.0,LeftResponse,correct
26,pract,Change,0.528,0,1,0,8,1.5000000000000004,RightResponse,correct
27,pract,Change,0.682,0,1,1,-8,-1.5,LeftResponse,correct
28,pract,Change,0.75,0,1,1,6,0.0,RightResponse,correct
29,pract,Blank,0.984,0,0,0,-6,1.5000000000000004,LeftResponse,incorrect
30,pract,Blank,1.11,0,1,0,8,-1.5,RightResponse,incorrect
31,pract,Blank,1.003,0,0,1,-6,0.0,LeftResponse,correct
32,pract,Change,0.759,0,0,1,8,1.5000000000000004,RightResponse,correct
33,pract,Step,1.001,0,0,1,-6,-1.5,LeftResponse,correct
34,pract,Blank,1.184,0,1,0,8,0.0,LeftResponse,correct
35,pract,Blank,1.343,0,0,0,-6,1.5000000000000004,LeftResponse,incorrect
36,pract,Blank,0.829,0,1,1,6,-1.5,LeftResponse,correct
37,pract,Blank,0.59,0,1,0,-6,0.0,RightResponse,correct
38,pract,Change,0.56,0,0,0,8,1.5000000000000004,LeftResponse,incorrect
39,pract,Change,1.258,0,1,1,-6,-1.5,RightResponse,incorrect
40,pract,Blank,0.555,0,0,1,8,0.0,LeftResponse,correct
41,pract,Change,0.514,0,0,0,-6,1.5000000000000004,RightResponse,correct
42,pract,Blank,0.62,0,1,1,8,-1.5,LeftResponse,correct
43,pract,Change,1.133,0,1,1,-8,0.0,RightResponse,correct
44,pract,Change,1.098,0,0,0,8,1.5000000000000004,RightResponse,correct
45,pract,Change,1.134,0,0,1,-6,-1.5,LeftResponse,correct
