displacement,nForward,nTrials
-1.5,0,16
-1.2,2,16
-0.9,2,14
-0.6,2,13
-0.3,1,12
0.0,3,16
0.3,7,14
0.6,4,12
0.9,6,16
1.2,11,16
1.5,8,14
