displacement,nForward,nTrials
-1.5,0,12
-1.2,0,14
-0.9,0,11
-0.6,2,16
-0.3,2,13
0.0,2,15
0.3,6,14
0.6,9,13
0.9,8,15
1.2,11,14
1.5,12,13
