displacement,nForward,nTrials
-1.5,3,14
-1.2,4,14
-0.9,7,14
-0.6,11,13
-0.3,11,15
0.0,9,14
0.3,8,12
0.6,10,16
0.9,11,15
1.2,11,15
1.5,13,15
