displacement,nForward,nTrials
-1.5,0,14
-1.2,0,14
-0.9,1,16
-0.6,0,15
-0.3,1,11
0.0,2,13
0.3,5,13
0.6,8,13
0.9,9,14
1.2,15,15
1.5,13,15
