displacement,nForward,nTrials
-1.5,0,15
-1.2,0,13
-0.9,0,15
-0.6,0,14
-0.3,2,16
0.0,5,16
0.3,7,15
0.6,13,14
0.9,10,13
1.2,14,14
1.5,13,13
