displacement,nForward,nTrials
-1.5,0,16
-1.2,1,16
-0.9,0,16
-0.6,1,15
-0.3,3,16
0.0,9,16
0.3,12,15
0.6,15,15
0.9,14,14
1.2,13,13
1.5,16,16
