displacement,nForward,nTrials
-1.5,3,14
-1.2,7,16
-0.9,8,15
-0.6,7,16
-0.3,6,15
0.0,8,14
0.3,9,14
0.6,9,16
0.9,12,16
1.2,10,15
1.5,13,15
