displacement,nForward,nTrials
-1.5,1,13
-1.2,1,13
-0.9,3,11
-0.6,4,10
-0.3,4,11
0.0,6,13
0.3,8,13
0.6,8,11
0.9,5,11
1.2,8,12
1.5,11,13
