displacement,nForward,nTrials
-1.5,0,12
-1.2,0,16
-0.9,0,15
-0.6,0,14
-0.3,1,14
0.0,7,14
0.3,11,13
0.6,13,16
0.9,14,15
1.2,15,15
1.5,13,14
