displacement,nForward,nTrials
-1.5,1,14
-1.2,1,13
-0.9,4,11
-0.6,3,12
-0.3,9,13
0.0,6,11
0.3,8,14
0.6,7,11
0.9,7,11
1.2,11,14
1.5,11,14
