displacement,nForward,nTrials
-1.5,1,13
-1.2,3,13
-0.9,2,12
-0.6,1,9
-0.3,2,13
0.0,6,13
0.3,4,11
0.6,5,12
0.9,4,10
1.2,12,12
1.5,6,10
