displacement,nForward,nTrials
-1.5,2,16
-1.2,7,15
-0.9,5,16
-0.6,7,14
-0.3,8,15
0.0,6,15
0.3,9,15
0.6,6,15
0.9,6,14
1.2,10,16
1.5,8,15
