displacement,nForward,nTrials
-1.5,0,15
-1.2,0,13
-0.9,0,15
-0.6,3,15
-0.3,3,16
0.0,5,13
0.3,11,13
0.6,12,14
0.9,10,16
1.2,11,13
1.5,14,15
