displacement,nForward,nTrials
-1.5,0,15
-1.2,3,14
-0.9,3,15
-0.6,5,15
-0.3,7,14
0.0,6,16
0.3,9,14
0.6,6,14
0.9,13,16
1.2,10,14
1.5,13,15
