displacement,nForward,nTrials
-1.5,5,12
-1.2,8,14
-0.9,8,13
-0.6,11,15
-0.3,13,14
0.0,13,15
0.3,14,14
0.6,12,13
0.9,12,16
1.2,15,16
1.5,13,13
