displacement,nForward,nTrials
-1.5,8,12
-1.2,7,13
-0.9,8,15
-0.6,7,12
-0.3,7,12
0.0,10,13
0.3,6,11
0.6,11,14
0.9,10,11
1.2,7,12
1.5,11,14
