displacement,nForward,nTrials
-1.5,6,15
-1.2,4,15
-0.9,8,14
-0.6,3,14
-0.3,4,16
0.0,7,14
0.3,8,15
0.6,2,12
0.9,7,16
1.2,10,15
1.5,9,15
