trialIndex,blockId,trialType,fixationDurationInSec,fixPosition,shapeInit,contrastInit,targetPosition,displacement,response,result
0,pract,Blank,1.44,0,0,1,6,-1.5,LeftResponse,correct
1,pract,Step,1.335,0,0,0,-6,0.0,NoResponse,invalid
2,pract,Change,1.096,0,1,0,8,1.5000000000000004,RightResponse,correct
3,pract,Change,1.186,0,1,1,-8,-1.5,LeftResponse,correct
4,pract,Blank,0.959,0,0,1,6,0.0,LeftResponse,correct
5,pract,Step,0.96,0,0,1,-6,1.5000000000000004,RightResponse,correct
6,pract,Step,0.784,0,0,0,8,-1.5,RightResponse,incorrect
7,pract,Step,0.888,0,0,1,-8,0.0,RightResponse,correct
8,pract,Blank,1.257,0,1,0,6,1.5000000000000004,LeftResponse,incorrect
9,pract,Blank,0.755,0,1,1,-6,-1.5,LeftResponse,correct
10,pract,Step,0.577,0,0,1,8,0.0,RightResponse,correct
11,pract,Step,0.951,0,1,1,-8,1.5000000000000004,RightResponse,correct
12,pract,Change,1.082,0,0,1,8,-1.5,LeftResponse,correct
13,pract,Step,0.707,0,0,1,-8,0.0,RightResponse,correct
14,pract,Step,0.661,0,1,0,8,1.5000000000000004,LeftResponse,incorrect
