trialIndex,blockId,trialType,fixPosition,targetPosition,displacement,shapeInit,contrastInit,fixationDurationInSec,response,result
0,0,Blank,-0.0,8.0,1.2000000000000002,0,1,1.075,RightResponse,correct
1,0,Change,0.0,-8.0,-0.2999999999999998,0,1,0.731,LeftResponse,correct
2,0,Blank,0.0,-8.0,-1.5,0,1,1.148,LeftResponse,correct
3,0,Step,-0.0,6.0,2.220446049250313e-16,0,1,0.595,RightResponse,correct
4,0,Blank,-0.0,6.0,0.9000000000000004,1,1,0.526,RightResponse,correct
5,0,Change,-0.0,6.0,-1.2,0,1,1.36,LeftResponse,correct
6,0,Change,0.0,-6.0,-0.2999999999999998,1,1,1.297,RightResponse,incorrect
7,0,Change,-0.0,6.0,1.2000000000000002,0,0,1.233,RightResponse,correct
8,0,Blank,0.0,-6.0,2.220446049250313e-16,1,1,1.258,LeftResponse,incorrect
9,0,Change,-0.0,6.0,0.9000000000000004,1,0,1.435,RightResponse,correct
10,0,Blank,0.0,-8.0,1.2000000000000002,0,0,0.6,RightResponse,correct
11,0,Step,-0.0,8.0,0.6000000000000005,0,1,0.551,RightResponse,correct
12,0,Blank,0.0,-6.0,0.9000000000000004,1,1,1.162,RightResponse,correct
13,0,Blank,-0.0,6.0,-1.5,0,1,1.192,LeftResponse,correct
14,0,Blank,-0.0,8.0,0.30000000000000027,1,0,1.129,RightResponse,correct
15,0,Blank,0.0,-6.0,0.30000000000000027,0,0,0.598,RightResponse,correct
16,0,Step,-0.0,8.0,-0.2999999999999998,0,0,1.138,RightResponse,incorrect
17,0,Change,-0.0,8.0,-0.8999999999999999,0,1,0.644,LeftResponse,correct
18,0,Change,0.0,-8.0,2.220446049250313e-16,0,1,0.887,LeftResponse,incorrect
19,0,Step,0.0,-8.0,-0.8999999999999999,0,0,1.279,LeftResponse,correct
20,0,Step,-0.0,8.0,-0.5999999999999999,1,1,1.219,LeftResponse,correct
21,0,Change,-0.0,8.0,-0.2999999999999998,1,1,1.083,RightResponse,incorrect
22,0,Step,-0.0,6.0,-1.2,1,0,0.909,LeftResponse,correct
23,0,Blank,0.0,-6.0,-1.5,1,0,1.304,LeftResponse,correct
24,0,Blank,0.0,-6.0,0.6000000000000005,0,0,0.68,RightResponse,correct
25,0,Step,0.0,-8.0,0.30000000000000027,1,0,1.002,LeftResponse,incorrect
26,0,Change,0.0,-8.0,2.220446049250313e-16,1,0,0.966,LeftResponse,incorrect
27,0,Blank,-0.0,8.0,-0.8999999999999999,1,1,0.759,LeftResponse,correct
28,0,Change,-0.0,6.0,-0.8999999999999999,1,0,0.965,LeftResponse,correct
29,0,Change,-0.0,6.0,-0.5999999999999999,1,0,0.641,RightResponse,incorrect
30,0,Change,-0.0,6.0,0.6000000000000005,0,1,0.781,RightResponse,correct
31,0,Change,0.0,-6.0,-0.8999999999999999,1,1,1.192,LeftResponse,correct
32,0,Blank,0.0,-6.0,-0.2999999999999998,1,0,0.864,RightResponse,incorrect
33,0,Change,-0.0,8.0,1.2000000000000002,0,1,0.565,RightResponse,correct
34,0,Step,-0.0,6.0,-0.2999999999999998,0,0,0.644,RightResponse,incorrect
35,0,Step,-0.0,8.0,-0.5999999999999999,1,0,1.315,RightResponse,incorrect
36,0,Step,-0.0,8.0,0.30000000000000027,0,0,0.75,RightResponse,correct
37,0,Blank,0.0,-6.0,1.5000000000000004,0,0,1.466,RightResponse,correct
38,0,Blank,0.0,-8.0,-0.8999999999999999,0,1,1.083,LeftResponse,correct
39,0,Blank,-0.0,6.0,0.6000000000000005,0,0,0.994,RightResponse,correct
40,0,Change,0.0,-8.0,-1.5,0,0,1.125,LeftResponse,correct
41,0,Change,-0.0,6.0,0.6000000000000005,1,1,0.533,RightResponse,correct
42,0,Step,-0.0,6.0,2.220446049250313e-16,1,0,0.621,RightResponse,correct
43,0,Step,-0.0,8.0,-0.8999999999999999,1,0,1.293,RightResponse,incorrect
44,0,Blank,-0.0,8.0,-0.2999999999999998,0,1,1.272,RightResponse,incorrect
45,0,Change,0.0,-6.0,1.5000000000000004,0,1,1.435,LeftResponse,incorrect
46,0,Blank,-0.0,6.0,-0.8999999999999999,1,1,0.913,RightResponse,incorrect
47,0,Blank,0.0,-6.0,0.9000000000000004,0,1,0.785,LeftResponse,incorrect
48,0,Step,-0.0,6.0,0.30000000000000027,0,0,0.572,RightResponse,correct
49,0,Step,-0.0,8.0,-0.5999999999999999,0,1,1.23,RightResponse,incorrect
50,0,Step,-0.0,6.0,0.9000000000000004,1,1,1.372,RightResponse,correct
51,0,Change,-0.0,8.0,0.6000000000000005,1,1,1.474,RightResponse,correct
52,0,Blank,-0.0,8.0,0.9000000000000004,0,0,0.914,RightResponse,correct
53,0,Change,-0.0,6.0,0.6000000000000005,1,0,0.865,RightResponse,correct
54,0,Blank,-0.0,8.0,-0.5999999999999999,0,0,0.513,LeftResponse,correct
55,0,Blank,-0.0,8.0,-0.2999999999999998,0,0,0.59,RightResponse,incorrect
56,0,Step,-0.0,8.0,-1.5,0,1,1.191,RightResponse,incorrect
57,0,Blank,-0.0,8.0,0.9000000000000004,0,1,0.529,RightResponse,correct
58,0,Change,0.0,-8.0,1.2000000000000002,0,0,0.916,LeftResponse,incorrect
59,0,Change,-0.0,8.0,-0.5999999999999999,0,0,0.846,RightResponse,incorrect
60,0,Blank,-0.0,6.0,-1.2,0,0,0.68,LeftResponse,correct
61,0,Step,0.0,-6.0,-1.2,1,0,1.138,RightResponse,incorrect
62,0,Change,-0.0,8.0,-1.5,0,0,1.262,LeftResponse,correct
63,0,Step,-0.0,6.0,0.6000000000000005,0,0,1.192,RightResponse,correct
64,0,Change,-0.0,6.0,1.2000000000000002,0,1,1.431,RightResponse,correct
65,0,Blank,-0.0,6.0,-1.2,0,1,0.79,LeftResponse,correct
66,1,Change,-0.0,6.0,2.220446049250313e-16,0,0,0.811,RightResponse,correct
67,1,Step,-0.0,8.0,0.9000000000000004,0,0,1.302,RightResponse,correct
68,1,Step,-0.0,8.0,0.9000000000000004,1,1,0.566,RightResponse,correct
