trialIndex,blockId,trialType,fixationDurationInSec,fixPosition,shapeInit,contrastInit,targetPosition,displacement,response,result
0,pract,Step,1.16,0,0,0,8,-1.5,NoResponse,invalid
1,pract,Step,1.2,0,0,0,-8,0.0,LeftResponse,correct
2,pract,Step,0.824,0,0,1,8,1.5000000000000004,RightResponse,correct
3,pract,Step,0.954,0,0,1,-8,-1.5,NoSaccadeMade,invalid
4,pract,Step,1.453,0,1,1,8,0.0,RightResponse,correct
5,pract,Step,0.854,0,1,0,-6,1.5000000000000004,LeftResponse,incorrect
6,pract,Blank,1.041,0,1,0,8,-1.5,RightResponse,incorrect
7,pract,Step,0.956,0,0,1,-8,0.0,LeftResponse,correct
8,pract,Blank,1.305,0,1,0,8,1.5000000000000004,RightResponse,correct
9,pract,Blank,0.954,0,0,1,-6,-1.5,LeftResponse,correct
10,pract,Blank,0.864,0,1,0,8,0.0,RightResponse,correct
11,pract,Step,1.198,0,0,1,-6,1.5000000000000004,LeftResponse,incorrect
12,pract,Blank,0.518,0,1,0,6,-1.5,RightResponse,incorrect
13,pract,Blank,1.101,0,1,1,-6,0.0,LeftResponse,correct
14,pract,Blank,1.087,0,1,0,8,1.5000000000000004,RightResponse,correct
15,pract,Blank,0.801,0,1,0,-8,-1.5,LeftResponse,correct
16,pract,Blank,1.222,0,0,0,8,0.0,RightResponse,correct
17,pract,Step,0.985,0,1,0,-8,1.5000000000000004,LeftResponse,incorrect
18,pract,Step,1.416,0,0,1,6,-1.5,RightResponse,incorrect
19,pract,Step,1.128,0,0,1,-8,0.0,LeftResponse,correct
20,pract,Blank,0.615,0,0,1,6,1.5000000000000004,RightResponse,correct
21,pract,Step,1.182,0,1,1,-8,-1.5,NoResponse,invalid
22,pract,Step,0.645,0,1,1,8,0.0,RightResponse,correct
23,pract,Step,1.459,0,1,0,-6,1.5000000000000004,LeftResponse,incorrect
24,pract,Change,0.851,0,1,0,6,-1.5,RightResponse,incorrect
25,pract,Change,0.688,0,0,0,-8,0.0,LeftResponse,correct
26,pract,Change,0.686,0,1,1,6,1.5000000000000004,RightResponse,correct
27,pract,Change,0.984,0,0,1,-6,-1.5,LeftResponse,correct
28,pract,Change,1.428,0,0,0,6,0.0,RightResponse,correct
29,pract,Step,1.342,0,0,0,-8,1.5000000000000004,LeftResponse,incorrect
30,pract,Change,0.855,0,0,1,6,-1.5,RightResponse,incorrect
31,pract,Step,0.788,0,1,1,-8,0.0,LeftResponse,correct
32,pract,Step,1.082,0,0,0,8,1.5000000000000004,RightResponse,correct
33,pract,Step,0.789,0,1,0,-8,-1.5,LeftResponse,correct
34,pract,Blank,1.22,0,1,0,8,0.0,RightResponse,correct
35,pract,Change,0.501,0,0,0,-6,1.5000000000000004,LeftResponse,incorrect
36,pract,Change,1.08,0,0,1,6,-1.5,RightResponse,incorrect
37,pract,Change,1.17,0,0,0,-6,0.0,LeftResponse,correct
38,pract,Change,1.025,0,1,0,6,1.5000000000000004,RightResponse,correct
39,pract,Change,0.989,0,0,1,-8,-1.5,LeftResponse,correct
40,pract,Change,1.015,0,0,1,6,0.0,RightResponse,correct
41,pract,Step,0.829,0,0,0,-8,1.5000000000000004,LeftResponse,incorrect
42,pract,Change,1.149,0,0,1,6,-1.5,RightResponse,incorrect
43,pract,Blank,0.845,0,1,0,-8,0.0,LeftResponse,correct
44,pract,Change,1.278,0,0,1,8,1.5000000000000004,RightResponse,correct
45,pract,Change,1.339,0,0,1,-8,-1.5,LeftResponse,correct
46,pract,Change,0.583,0,0,0,6,0.0,RightResponse,correct
47,pract,Change,0.547,0,1,0,-6,1.5000000000000004,LeftResponse,incorrect
48,pract,Change,1.186,0,0,1,8,-1.5,RightResponse,incorrect
49,pract,Blank,0.94,0,0,0,-6,0.0,LeftResponse,correct
50,pract,Blank,1.36,0,1,1,6,1.5000000000000004,RightResponse,correct
51,pract,Step,0.976,0,1,1,-6,-1.5,LeftResponse,correct
52,pract,Step,1.414,0,1,0,8,0.0,RightResponse,correct
53,pract,Blank,0.578,0,1,1,-8,1.5000000000000004,LeftResponse,incorrect
54,pract,Blank,0.662,0,1,1,8,-1.5,RightResponse,incorrect
55,pract,Change,1.462,0,1,0,-8,0.0,LeftResponse,correct
56,pract,Blank,0.546,0,0,0,8,1.5000000000000004,RightResponse,correct
57,pract,Blank,1.134,0,0,0,-6,-1.5,LeftResponse,correct
58,pract,Blank,1.314,0,1,0,6,0.0,RightResponse,correct
59,pract,Step,0.694,0,1,1,-8,1.5000000000000004,LeftResponse,incorrect
60,pract,Change,1.398,0,1,0,8,-1.5,RightResponse,incorrect
61,pract,Step,1.104,0,1,1,-6,0.0,LeftResponse,correct
62,pract,Step,0.79,0,0,1,6,1.5000000000000004,RightResponse,correct
63,pract,Step,1.155,0,1,0,-8,-1.5,LeftResponse,correct
64,pract,Step,1.249,0,1,0,8,0.0,RightResponse,correct
65,pract,Blank,1.456,0,0,0,-6,1.5000000000000004,LeftResponse,incorrect
66,pract,Blank,1.239,0,1,1,8,-1.5,RightResponse,incorrect
67,pract,Step,1.083,0,0,1,-8,0.0,LeftResponse,correct
68,pract,Blank,1.312,0,0,1,6,1.5000000000000004,RightResponse,correct
69,pract,Step,0.908,0,1,1,-6,-1.5,LeftResponse,correct
70,pract,Change,1.154,0,0,0,6,0.0,RightResponse,correct
71,pract,Blank,0.785,0,0,1,-8,1.5000000000000004,LeftResponse,incorrect
72,pract,Change,0.873,0,1,1,8,-1.5,RightResponse,incorrect
73,pract,Blank,0.945,0,1,0,-8,0.0,LeftResponse,correct
74,pract,Blank,1.332,0,0,0,6,1.5000000000000004,RightResponse,correct
75,pract,Change,1.028,0,0,1,-6,-1.5,LeftResponse,correct
76,pract,Blank,1.28,0,0,0,8,0.0,RightResponse,correct
77,pract,Blank,0.795,0,1,0,-6,1.5000000000000004,LeftResponse,incorrect
78,pract,Blank,1.486,0,1,1,8,-1.5,RightResponse,incorrect
79,pract,Step,0.882,0,0,0,-6,0.0,NoResponse,invalid
80,pract,Change,1.02,0,0,0,6,1.5000000000000004,RightResponse,correct
81,pract,Step,0.501,0,0,1,-8,-1.5,LeftResponse,correct
82,pract,Step,0.913,0,1,0,8,0.0,NoResponse,invalid
83,pract,Blank,1.226,0,1,0,-8,1.5000000000000004,LeftResponse,incorrect
84,pract,Step,0.887,0,0,1,6,-1.5,RightResponse,incorrect
85,pract,Blank,1.305,0,0,1,-8,0.0,LeftResponse,correct
86,pract,Step,0.67,0,1,0,8,1.5000000000000004,NoResponse,invalid
87,pract,Step,1.395,0,1,0,-8,-1.5,LeftResponse,correct
88,pract,Change,1.081,0,0,0,6,0.0,RightResponse,correct
89,pract,Blank,0.647,0,1,1,-6,1.5000000000000004,LeftResponse,incorrect
90,pract,Change,1.458,0,1,0,8,-1.5,RightResponse,incorrect
91,pract,Step,1.46,0,1,0,-8,0.0,LeftResponse,correct
92,pract,Step,1.143,0,0,1,8,1.5000000000000004,RightResponse,correct
93,pract,Change,0.899,0,0,1,-8,-1.5,LeftResponse,correct
94,pract,Step,1.226,0,0,0,6,0.0,RightResponse,correct
95,pract,Change,1.36,0,0,0,-6,1.5000000000000004,LeftResponse,incorrect
96,pract,Step,1.177,0,0,1,8,-1.5,RightResponse,incorrect
97,pract,Blank,0.918,0,1,1,-8,0.0,LeftResponse,correct
98,pract,Change,1.417,0,0,1,6,1.5000000000000004,RightResponse,correct
99,pract,Change,1.405,0,0,0,-8,-1.5,LeftResponse,correct
100,pract,Change,1.012,0,0,1,8,0.0,RightResponse,correct
101,pract,Change,1.324,0,1,1,-6,1.5000000000000004,LeftResponse,incorrect
102,pract,Change,1.403,0,0,0,6,-1.5,RightResponse,incorrect
103,pract,Blank,0.809,0,1,1,-6,0.0,LeftResponse,correct
104,pract,Change,0.784,0,0,0,6,1.5000000000000004,RightResponse,correct
105,pract,Change,0.612,0,1,0,-8,-1.5,LeftResponse,correct
106,pract,Change,1.058,0,0,0,6,0.0,RightResponse,correct
107,pract,Step,1.26,0,1,1,-8,1.5000000000000004,LeftResponse,incorrect
108,pract,Blank,1.439,0,1,1,6,-1.5,RightResponse,incorrect
109,pract,Blank,1.213,0,1,0,-6,0.0,RightResponse,correct
110,pract,Step,1.394,0,0,1,8,1.5000000000000004,LeftResponse,incorrect
111,pract,Blank,1.265,0,1,0,-8,-1.5,LeftResponse,correct
112,pract,Blank,0.886,0,1,1,6,0.0,RightResponse,correct
113,pract,Blank,0.884,0,0,1,-8,1.5000000000000004,LeftResponse,incorrect
114,pract,Step,1.388,0,1,1,8,-1.5,RightResponse,incorrect
115,pract,Step,1.432,0,1,0,-6,0.0,RightResponse,correct
116,pract,Step,1.207,0,0,0,8,1.5000000000000004,RightResponse,correct
117,pract,Change,0.696,0,0,1,-6,-1.5,LeftResponse,correct
118,pract,Blank,0.924,0,0,0,8,0.0,RightResponse,correct
119,pract,Change,0.898,0,1,0,-8,1.5000000000000004,LeftResponse,incorrect
120,pract,Blank,1.386,0,1,1,6,-1.5,LeftResponse,correct
121,pract,Step,1.289,0,1,1,-8,0.0,NoResponse,invalid
122,pract,Blank,1.248,0,1,1,6,1.5000000000000004,RightResponse,correct
123,pract,Change,0.684,0,1,1,-6,-1.5,LeftResponse,correct
124,pract,Blank,0.583,0,0,0,8,0.0,RightResponse,correct
125,pract,Step,1.305,0,1,1,-8,1.5000000000000004,RightResponse,correct
126,pract,Step,0.606,0,1,1,8,-1.5,RightResponse,incorrect
127,pract,Step,1.195,0,0,0,-8,0.0,LeftResponse,correct
128,pract,Blank,0.596,0,0,1,6,1.5000000000000004,RightResponse,correct
129,pract,Step,0.707,0,0,0,-8,-1.5,LeftResponse,correct
130,pract,Change,1.375,0,0,0,6,0.0,RightResponse,correct
131,pract,Blank,1.058,0,0,0,-6,1.5000000000000004,RightResponse,correct
132,pract,Step,1.198,0,1,1,8,-1.5,RightResponse,incorrect
