,blockID,trialNumber,triggerName,timestamp_sys,timestamp_psyc,triggerSent_Serial00
0,pract,-1,StartPractice,1764328614.4469821,616.6408927440643,False
1,pract,0,startFixDisplay,1764328614.4569316,616.6508419513702,False
2,pract,0,startFixPeriod,1764328614.6931746,616.887088060379,False
3,pract,0,TargetPresentation,1764328616.074039,618.2679524421692,False
4,pract,0,TargetDisplacement,1764328616.3028412,618.496753692627,True
5,pract,0,RightResponse,1764328616.5879104,618.7818231582642,False
6,pract,0,FeedbackPeriodStarted,1764328616.6081924,618.8021059036255,False
7,pract,1,startFixDisplay,1764328617.1147332,619.3086462020874,False
8,pract,1,startFixPeriod,1764328617.489563,619.6834893226624,False
9,pract,1,TargetPresentation,1764328618.5304785,620.7243900299072,False
10,pract,1,TargetDisplacement,1764328618.682998,620.8769085407257,True
11,pract,1,LeftResponse,1764328619.1901193,621.3840320110321,False
12,pract,1,FeedbackPeriodStarted,1764328619.1965182,621.3904314041138,False
13,pract,2,startFixDisplay,1764328619.7034335,621.8973445892334,False
14,pract,2,startFixPeriod,1764328619.7794871,621.9734003543854,False
15,pract,2,TargetPresentation,1764328620.7579722,622.9518857002258,False
16,pract,2,TargetRemoval,1764328620.9243019,623.118212223053,True
17,pract,2,TargetReappeared,1764328621.1741924,623.3681056499481,False
18,pract,2,RightResponse,1764328621.2160718,623.4099836349487,False
19,pract,2,FeedbackPeriodStarted,1764328621.2226486,623.4165616035461,False
20,pract,3,startFixDisplay,1764328621.7293038,623.9232175350189,False
21,pract,3,startFixPeriod,1764328621.9305363,624.1244494915009,False
22,pract,3,TargetPresentation,1764328622.8881328,625.0820441246033,False
23,pract,3,TargetDisplacement,1764328623.026808,625.2207207679749,True
24,pract,3,LeftResponse,1764328623.2839282,625.4778409004211,False
25,pract,3,FeedbackPeriodStarted,1764328623.2975304,625.4914436340332,False
26,pract,4,startFixDisplay,1764328623.803915,625.9978280067444,False
27,pract,4,startFixPeriod,1764328623.9706006,626.1645159721375,False
28,pract,4,TargetPresentation,1764328624.9282215,627.1221330165863,False
29,pract,4,TargetRemoval,1764328625.0807977,627.2747104167938,True
30,pract,4,TargetReappeared,1764328625.3308883,627.5248003005981,False
31,pract,4,RightResponse,1764328626.2542207,628.4481334686279,False
