trialIndex,blockId,trialType,fixPosition,targetPosition,displacement,shapeInit,contrastInit,fixationDurationInSec,response,result
0,0,Blank,0.0,-8.0,-0.2999999999999998,0,0,1.338,LeftResponse,correct
1,0,Step,-0.0,6.0,-1.2,0,0,0.681,LeftResponse,correct
2,0,Blank,0.0,-8.0,-1.2,0,1,0.927,RightResponse,incorrect
3,0,Change,-0.0,8.0,-1.5,1,1,1.01,NoResponse,invalid
4,0,Change,0.0,-6.0,0.6000000000000005,0,0,1.357,RightResponse,correct
5,0,Step,-0.0,8.0,-1.2,1,0,1.156,LeftResponse,correct
6,0,Step,0.0,-6.0,-0.8999999999999999,0,0,1.028,NoResponse,invalid
7,0,Step,-0.0,8.0,-0.5999999999999999,1,1,1.248,LeftResponse,correct
8,0,Change,0.0,-6.0,-1.5,0,0,1.409,LeftResponse,correct
9,0,Step,-0.0,6.0,-0.5999999999999999,1,1,1.269,RightResponse,incorrect
10,0,Change,-0.0,6.0,0.9000000000000004,0,1,0.971,RightResponse,correct
11,0,Change,-0.0,8.0,2.220446049250313e-16,0,0,0.913,RightResponse,correct
12,0,Step,0.0,-6.0,1.2000000000000002,1,1,0.689,LeftResponse,incorrect
13,0,Change,0.0,-6.0,-1.5,0,1,1.058,LeftResponse,correct
14,0,Step,-0.0,8.0,-1.2,1,1,1.243,RightResponse,incorrect
15,0,Blank,0.0,-6.0,-0.5999999999999999,1,0,0.653,RightResponse,incorrect
16,0,Change,-0.0,8.0,0.9000000000000004,1,0,1.321,RightResponse,correct
17,0,Change,0.0,-8.0,1.2000000000000002,0,1,1.19,RightResponse,correct
18,0,Step,0.0,-8.0,2.220446049250313e-16,1,0,0.964,RightResponse,correct
19,0,Blank,-0.0,8.0,-0.5999999999999999,1,0,0.74,LeftResponse,correct
20,0,Blank,0.0,-8.0,-0.5999999999999999,1,0,0.811,LeftResponse,correct
21,0,Blank,-0.0,8.0,0.30000000000000027,1,1,0.847,LeftResponse,incorrect
22,0,Blank,-0.0,6.0,-0.8999999999999999,0,0,0.674,LeftResponse,correct
23,0,Blank,0.0,-8.0,0.9000000000000004,0,1,1.265,RightResponse,correct
24,0,Change,-0.0,8.0,-1.2,1,0,0.625,LeftResponse,correct
25,0,Step,0.0,-6.0,-1.5,0,1,1.256,RightResponse,incorrect
26,0,Change,0.0,-8.0,-1.2,1,1,1.38,LeftResponse,correct
27,0,Step,0.0,-8.0,-1.5,1,0,1.377,LeftResponse,correct
28,0,Step,-0.0,8.0,0.30000000000000027,1,0,1.387,RightResponse,correct
29,0,Step,-0.0,6.0,-0.2999999999999998,0,0,0.877,RightResponse,incorrect
30,0,Blank,0.0,-8.0,1.2000000000000002,1,1,0.577,LeftResponse,incorrect
31,0,Blank,0.0,-6.0,2.220446049250313e-16,1,0,1.107,LeftResponse,incorrect
32,0,Change,-0.0,8.0,-0.2999999999999998,1,0,1.125,RightResponse,incorrect
33,0,Blank,0.0,-8.0,1.2000000000000002,1,0,1.317,RightResponse,correct
34,0,Step,-0.0,6.0,-1.2,0,1,0.778,LeftResponse,correct
35,0,Change,0.0,-8.0,-1.2,0,0,0.844,LeftResponse,correct
36,0,Step,-0.0,6.0,0.6000000000000005,1,0,1.128,RightResponse,correct
37,0,Change,-0.0,8.0,0.30000000000000027,0,0,1.344,RightResponse,correct
38,0,Step,-0.0,8.0,-1.5,1,0,1.492,RightResponse,incorrect
39,0,Blank,-0.0,6.0,0.9000000000000004,0,0,0.656,RightResponse,correct
40,0,Blank,-0.0,6.0,-1.2,0,0,1.0,NoResponse,invalid
41,0,Step,0.0,-8.0,-0.2999999999999998,1,0,1.18,LeftResponse,correct
42,0,Change,-0.0,6.0,-0.2999999999999998,1,1,1.066,RightResponse,incorrect
43,0,Change,-0.0,6.0,-1.2,1,1,1.01,LeftResponse,correct
44,0,Change,0.0,-8.0,-0.8999999999999999,1,0,0.962,RightResponse,incorrect
45,0,Change,-0.0,8.0,0.30000000000000027,1,0,0.505,LeftResponse,incorrect
46,0,Blank,-0.0,6.0,-1.2,0,1,0.635,LeftResponse,correct
47,0,Change,-0.0,6.0,-0.8999999999999999,0,0,0.785,LeftResponse,correct
48,0,Change,0.0,-6.0,2.220446049250313e-16,1,1,1.138,LeftResponse,incorrect
49,0,Change,-0.0,8.0,-0.5999999999999999,1,0,0.764,NoResponse,invalid
50,0,Change,-0.0,6.0,-0.8999999999999999,0,1,1.213,LeftResponse,correct
