trialIndex,blockId,trialType,fixPosition,targetPosition,displacement,shapeInit,contrastInit,fixationDurationInSec,response,result
0,0,Change,-0.0,8.0,0.30000000000000027,0,0,1.297,RightResponse,correct
1,0,Step,0.0,-6.0,-1.2,1,1,1.073,RightResponse,incorrect
2,0,Blank,-0.0,6.0,0.6000000000000005,0,1,0.927,LeftResponse,incorrect
3,0,Blank,0.0,-6.0,1.2000000000000002,1,0,0.581,RightResponse,correct
4,0,Change,-0.0,6.0,-0.8999999999999999,0,1,1.477,RightResponse,incorrect
5,0,Step,-0.0,6.0,-0.8999999999999999,1,0,0.991,RightResponse,incorrect
6,0,Change,-0.0,8.0,2.220446049250313e-16,0,0,0.827,RightResponse,correct
7,0,Change,0.0,-6.0,-0.2999999999999998,1,1,0.902,RightResponse,incorrect
8,0,Step,-0.0,6.0,1.5000000000000004,1,0,0.868,RightResponse,correct
9,0,Change,-0.0,8.0,0.6000000000000005,1,0,0.655,RightResponse,correct
10,0,Step,0.0,-6.0,1.5000000000000004,1,0,0.977,LeftResponse,incorrect
11,0,Step,-0.0,6.0,1.5000000000000004,1,1,1.379,RightResponse,correct
12,0,Step,0.0,-6.0,-0.2999999999999998,0,0,1.12,RightResponse,incorrect
13,0,Change,0.0,-6.0,1.2000000000000002,0,1,1.459,RightResponse,correct
14,0,Blank,0.0,-8.0,1.5000000000000004,0,1,1.214,RightResponse,correct
15,0,Blank,0.0,-6.0,2.220446049250313e-16,0,1,1.171,RightResponse,correct
16,0,Blank,-0.0,8.0,0.6000000000000005,0,1,0.999,RightResponse,correct
17,0,Step,-0.0,8.0,1.2000000000000002,1,0,0.99,RightResponse,correct
18,0,Change,-0.0,8.0,0.9000000000000004,0,0,1.486,RightResponse,correct
19,0,Step,-0.0,8.0,0.9000000000000004,1,0,0.866,RightResponse,correct
20,0,Step,-0.0,8.0,-1.5,0,0,0.607,RightResponse,incorrect
21,0,Change,-0.0,6.0,1.5000000000000004,0,1,0.813,RightResponse,correct
22,0,Step,-0.0,6.0,-1.5,1,1,1.006,RightResponse,incorrect
23,0,Step,-0.0,6.0,1.2000000000000002,1,0,0.737,RightResponse,correct
24,0,Change,-0.0,8.0,-0.2999999999999998,0,1,1.3,RightResponse,incorrect
25,0,Blank,-0.0,8.0,1.5000000000000004,1,1,1.174,RightResponse,correct
26,0,Step,-0.0,8.0,-1.2,1,0,1.168,RightResponse,incorrect
27,0,Step,0.0,-6.0,0.30000000000000027,0,1,0.674,RightResponse,correct
