trialIndex,blockId,trialType,fixationDurationInSec,fixPosition,shapeInit,contrastInit,targetPosition,displacement,response,result
0,pract,Blank,0.941,0,0,1,6,-1.5,LeftResponse,correct
1,pract,Blank,0.874,0,1,0,-8,0.0,RightResponse,correct
2,pract,Step,1.269,0,0,0,6,1.5000000000000004,RightResponse,correct
3,pract,Step,1.447,0,0,0,-8,-1.5,NoResponse,invalid
4,pract,Change,0.637,0,1,1,8,0.0,LeftResponse,correct
5,pract,Change,1.133,0,1,0,-8,1.5000000000000004,RightResponse,correct
6,pract,Change,1.375,0,1,0,8,-1.5,LeftResponse,correct
7,pract,Change,1.097,0,1,0,-6,0.0,RightResponse,correct
8,pract,Blank,0.598,0,0,0,6,1.5000000000000004,RightResponse,correct
9,pract,Blank,0.763,0,1,1,-8,-1.5,LeftResponse,correct
