trialIndex,blockId,trialType,fixPosition,targetPosition,displacement,shapeInit,contrastInit,fixationDurationInSec,response,result
0,0,Step,0.0,-6.0,-0.8999999999999999,1,1,0.855,RightResponse,incorrect
1,0,Step,0.0,-8.0,2.220446049250313e-16,1,0,1.405,RightResponse,correct
2,0,Step,-0.0,8.0,-0.2999999999999998,1,1,1.466,RightResponse,incorrect
3,0,Blank,-0.0,8.0,-0.2999999999999998,0,0,0.559,RightResponse,incorrect
4,0,Blank,0.0,-6.0,-1.5,0,0,1.235,LeftResponse,correct
5,0,Step,-0.0,6.0,1.5000000000000004,1,1,1.03,RightResponse,correct
6,0,Blank,-0.0,6.0,-0.2999999999999998,1,1,0.825,LeftResponse,correct
7,0,Step,0.0,-6.0,0.6000000000000005,1,0,1.081,RightResponse,correct
8,0,Step,-0.0,6.0,2.220446049250313e-16,1,1,1.482,LeftResponse,incorrect
9,0,Step,0.0,-8.0,-0.8999999999999999,1,0,0.558,LeftResponse,correct
10,0,Change,0.0,-6.0,0.6000000000000005,0,1,1.483,RightResponse,correct
11,0,Blank,-0.0,6.0,0.30000000000000027,0,0,1.196,RightResponse,correct
12,0,Change,0.0,-6.0,1.5000000000000004,1,1,1.216,RightResponse,correct
13,0,Blank,0.0,-6.0,-0.2999999999999998,0,1,0.728,RightResponse,incorrect
14,0,Blank,0.0,-6.0,0.6000000000000005,0,1,0.665,RightResponse,correct
15,0,Change,-0.0,8.0,-1.2,1,0,0.8,LeftResponse,correct
16,0,Change,-0.0,6.0,-1.2,1,0,1.388,LeftResponse,correct
17,0,Blank,-0.0,8.0,0.30000000000000027,0,1,1.382,LeftResponse,incorrect
18,0,Change,-0.0,6.0,-1.5,1,0,0.798,LeftResponse,correct
19,0,Step,-0.0,6.0,-0.5999999999999999,0,0,1.012,RightResponse,incorrect
20,0,Blank,-0.0,6.0,-0.5999999999999999,1,0,1.066,LeftResponse,correct
21,0,Blank,0.0,-8.0,-1.5,0,0,1.456,LeftResponse,correct
22,0,Step,-0.0,8.0,-1.5,0,0,1.2,LeftResponse,correct
23,0,Step,-0.0,8.0,-0.5999999999999999,1,1,0.67,LeftResponse,correct
24,0,Change,0.0,-6.0,-0.5999999999999999,1,1,0.854,LeftResponse,correct
25,0,Blank,-0.0,6.0,-0.8999999999999999,1,0,0.856,LeftResponse,correct
26,0,Step,-0.0,8.0,0.9000000000000004,0,1,1.388,LeftResponse,incorrect
27,0,Blank,0.0,-6.0,0.30000000000000027,1,0,1.465,RightResponse,correct
28,0,Step,-0.0,6.0,0.30000000000000027,0,1,1.088,RightResponse,correct
29,0,Step,-0.0,8.0,-1.2,1,0,0.526,LeftResponse,correct
30,0,Blank,0.0,-6.0,-1.5,0,1,0.968,LeftResponse,correct
31,0,Change,-0.0,6.0,-0.2999999999999998,0,0,0.803,LeftResponse,correct
32,0,Step,-0.0,6.0,-0.5999999999999999,1,1,1.313,LeftResponse,correct
33,0,Blank,-0.0,8.0,-0.5999999999999999,0,1,0.843,LeftResponse,correct
34,0,Change,0.0,-8.0,2.220446049250313e-16,0,0,1.264,RightResponse,correct
35,0,Change,0.0,-6.0,-0.5999999999999999,1,0,0.953,RightResponse,incorrect
36,0,Blank,0.0,-8.0,-1.2,0,0,1.064,LeftResponse,correct
37,0,Step,0.0,-6.0,-1.2,0,0,1.083,RightResponse,incorrect
38,0,Step,0.0,-8.0,-1.5,1,0,1.208,LeftResponse,correct
