trialIndex,blockId,trialType,fixPosition,targetPosition,displacement,shapeInit,contrastInit,fixationDurationInSec,response,result
73,1,Step,0.0,-6.0,1.2000000000000002,1,1,0.769,LeftResponse,incorrect
74,1,Blank,-0.0,8.0,0.30000000000000027,0,1,0.931,RightResponse,correct
75,1,Blank,0.0,-6.0,-0.8999999999999999,1,1,1.159,LeftResponse,correct
76,1,Change,-0.0,6.0,2.220446049250313e-16,1,0,0.632,RightResponse,correct
77,1,Change,0.0,-8.0,-0.2999999999999998,1,0,1.484,LeftResponse,correct
78,1,Change,-0.0,8.0,0.6000000000000005,0,0,0.899,RightResponse,correct
79,1,Blank,0.0,-6.0,-0.5999999999999999,1,0,0.569,LeftResponse,correct
80,1,Change,-0.0,6.0,-1.2,0,1,0.958,LeftResponse,correct
81,1,Step,0.0,-6.0,0.30000000000000027,0,0,0.986,LeftResponse,incorrect
82,1,Step,-0.0,8.0,-0.2999999999999998,0,1,0.673,LeftResponse,correct
83,1,Step,-0.0,8.0,-0.2999999999999998,1,1,0.899,LeftResponse,correct
84,1,Step,0.0,-6.0,-1.2,0,1,0.742,LeftResponse,correct
85,1,Change,-0.0,6.0,-1.5,0,0,0.885,LeftResponse,correct
86,1,Change,-0.0,6.0,-1.2,1,1,0.808,LeftResponse,correct
87,1,Change,0.0,-8.0,-1.2,1,1,0.904,LeftResponse,correct
88,1,Step,-0.0,8.0,0.6000000000000005,1,0,0.635,RightResponse,correct
89,1,Step,-0.0,8.0,2.220446049250313e-16,1,0,0.673,RightResponse,correct
90,1,Blank,0.0,-6.0,-0.5999999999999999,0,0,0.978,LeftResponse,correct
91,1,Change,0.0,-8.0,-0.8999999999999999,1,1,1.103,LeftResponse,correct
92,1,Step,0.0,-8.0,0.9000000000000004,0,1,0.882,LeftResponse,incorrect
93,1,Step,0.0,-6.0,2.220446049250313e-16,0,1,1.024,LeftResponse,incorrect
94,1,Blank,-0.0,6.0,-0.8999999999999999,1,1,1.302,LeftResponse,correct
95,1,Step,-0.0,6.0,0.9000000000000004,0,0,1.285,RightResponse,correct
96,1,Change,-0.0,8.0,1.2000000000000002,0,1,0.52,RightResponse,correct
97,1,Step,-0.0,6.0,0.6000000000000005,0,1,0.781,RightResponse,correct
98,1,Step,-0.0,6.0,1.2000000000000002,0,1,0.777,RightResponse,correct
99,1,Step,0.0,-8.0,2.220446049250313e-16,0,0,1.491,LeftResponse,incorrect
100,1,Step,-0.0,8.0,1.5000000000000004,1,1,1.427,LeftResponse,incorrect
101,1,Change,-0.0,8.0,0.30000000000000027,0,0,0.556,LeftResponse,incorrect
102,1,Change,0.0,-6.0,-1.5,0,1,1.065,LeftResponse,correct
103,1,Blank,0.0,-6.0,0.9000000000000004,1,1,0.832,RightResponse,correct
104,1,Blank,-0.0,6.0,-1.5,1,0,1.393,LeftResponse,correct
105,1,Blank,0.0,-8.0,1.5000000000000004,0,0,0.849,RightResponse,correct
106,1,Step,0.0,-6.0,0.30000000000000027,0,1,1.041,LeftResponse,incorrect
107,1,Blank,0.0,-8.0,-1.2,1,1,0.565,LeftResponse,correct
108,1,Blank,0.0,-8.0,-1.2,0,1,1.422,LeftResponse,correct
109,1,Change,0.0,-8.0,2.220446049250313e-16,0,0,1.344,LeftResponse,incorrect
110,1,Step,0.0,-8.0,-1.2,1,0,0.664,LeftResponse,correct
111,1,Change,-0.0,8.0,1.5000000000000004,1,1,1.108,RightResponse,correct
112,1,Blank,-0.0,6.0,1.2000000000000002,0,1,0.629,RightResponse,correct
113,1,Blank,0.0,-8.0,0.6000000000000005,1,0,1.258,RightResponse,correct
114,1,Step,-0.0,8.0,2.220446049250313e-16,0,0,1.112,RightResponse,correct
115,1,Change,-0.0,6.0,1.2000000000000002,0,1,1.364,RightResponse,correct
116,1,Step,-0.0,8.0,-0.5999999999999999,0,0,0.979,RightResponse,incorrect
117,1,Step,-0.0,8.0,0.30000000000000027,1,0,1.133,RightResponse,correct
118,1,Change,0.0,-6.0,2.220446049250313e-16,0,1,1.389,LeftResponse,incorrect
119,1,Step,0.0,-6.0,-0.8999999999999999,1,0,0.747,LeftResponse,correct
120,1,Step,-0.0,6.0,2.220446049250313e-16,1,1,0.675,RightResponse,correct
121,1,Blank,-0.0,8.0,-1.2,1,0,0.939,LeftResponse,correct
122,1,Change,0.0,-8.0,1.2000000000000002,1,0,1.064,RightResponse,correct
123,1,Blank,-0.0,8.0,-0.2999999999999998,0,0,0.883,LeftResponse,correct
124,1,Change,0.0,-8.0,0.30000000000000027,1,1,0.63,RightResponse,correct
125,1,Step,-0.0,6.0,-0.2999999999999998,1,1,0.698,LeftResponse,correct
126,1,Step,-0.0,8.0,-1.2,0,0,1.225,RightResponse,incorrect
127,1,Blank,-0.0,8.0,-1.5,0,1,1.076,LeftResponse,correct
128,1,Change,-0.0,8.0,-1.5,0,0,1.072,LeftResponse,correct
129,1,Blank,0.0,-6.0,1.5000000000000004,0,1,1.069,RightResponse,correct
130,1,Step,-0.0,8.0,2.220446049250313e-16,1,1,0.851,RightResponse,correct
131,1,Step,-0.0,6.0,0.9000000000000004,0,1,0.848,RightResponse,correct
132,2,Change,-0.0,6.0,0.30000000000000027,1,0,1.227,LeftResponse,incorrect
