# subID,loc,scale,loc_er,scale_er
05,-1.04297e-01,1.39405e+00,1.50214e-01,2.66233e-01
06,-8.48970e-01,1.26927e+00,1.28622e-01,2.21403e-01
07,9.84208e-01,8.21434e-01,1.06472e-01,1.76913e-01
11,8.03226e-01,1.14956e+00,9.82482e-02,1.66212e-01
12,1.96742e+00,3.25020e+00,1.10926e+00,1.91453e+00
13,1.28638e+00,9.54990e-01,9.51361e-02,1.57389e-01
22,3.38237e+00,3.73537e+00,1.64153e+00,1.97265e+00
24,5.61660e-01,6.80652e-01,7.54820e-02,1.10586e-01
25,9.18877e-01,5.41275e-01,3.41939e-02,5.16505e-02
