# subID,loc,scale,loc_er,scale_er
05,4.40718e-01,5.84914e-01,6.42376e-02,9.15028e-02
06,5.91780e-02,7.34665e-01,1.35119e-01,1.92585e-01
07,7.53356e-01,6.17260e-01,8.05798e-02,1.20020e-01
11,1.79869e-01,3.77109e-01,2.08953e-02,2.95504e-02
12,1.23549e+00,2.09413e+00,3.11538e-01,5.61028e-01
13,6.63811e-01,9.24516e-01,1.21692e-01,1.93632e-01
22,8.90916e-01,7.35039e-01,1.09996e-01,1.75913e-01
24,8.66023e-02,2.87512e-01,1.29768e-02,1.83427e-02
25,3.64152e-01,4.82320e-01,2.06256e-02,2.91814e-02
